OS,Platform,CPU Cores,RAM,GPU Vendor,GPU,Resolution,Browser,IP Address,Continent,Country,Region,City,Organisation,ISP,Latitude,Longitude,Accuracy,Altitude,Direction,Speed
Android 9,Linux armv7l,8,2,Qualcomm,Adreno (TM) 506,360x720,Chrome/87.0.4280.101,2409:4043:2e99:4422:5be1:108a:f375:3033,Asia,India,Himachal Pradesh,Ghumarwin,Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited,22.75213 deg,75.8909735 deg,1100 m,490.076628647819,90 deg,0 m/s
Ubuntu,Linux x86_64,2,Not Available,Intel Open Source Technology Center,Mesa DRI Intel(R) HD Graphics 400 (BSW),1440x900,Firefox/88.0,200.68.169.60,North America,Mexico,Ciudad de México,Ciudad de México,"RadioMovil Dipsa, S.A. de C.V.","RadioMovil Dipsa, S.A. de C.V.",19.0412894 deg,-98.20620129999999 deg,791285 m,Not Available,Not Available,Not Available
Android 4.4.4,Linux armv7l,2,1,Qualcomm,Adreno (TM) 305,360x640,Chrome/81.0.4044.138,200.68.169.60,North America,Mexico,Ciudad de México,Ciudad de México,"RadioMovil Dipsa, S.A. de C.V.","RadioMovil Dipsa, S.A. de C.V.",17.6755684 deg,-97.5688794 deg,20 m,2015.3806505653001,Not Available,Not Available
19.0412894 deg,-98.20620129999999 deg,791285 m,Not Available,Not Available,Not Available
Android 4.4.4,Linux armv7l,2,1,Qualcomm,Adreno (TM) 305,360x640,Chrome/81.0.4044.138,200.68.169.157,North America,Mexico,Ciudad de México,Ciudad de México,"RadioMovil Dipsa, S.A. de C.V.","RadioMovil Dipsa, S.A. de C.V.",17.6755763 deg,-97.5688935 deg,20 m,2015.282914380997,Not Available,Not Available
Ubuntu,Linux x86_64,2,Not Available,Intel Open Source Technology Center,Mesa DRI Intel(R) HD Graphics 400 (BSW),1440x900,Firefox/88.0,200.68.169.60,North America,Mexico,Ciudad de México,Ciudad de México,"RadioMovil Dipsa, S.A. de C.V.","RadioMovil Dipsa, S.A. de C.V.",19.0412894 deg,-98.20620129999999 deg,791285 m,Not Available,Not Available,Not Available
CPU iPhone OS 13_7 like Mac OS X,Linux x86_64,16,8,Google Inc.,Google SwiftShader,1366x768,Safari/604.1,3.95.155.161,North America,United States,Virginia,Ashburn,Amazon Technologies Inc.,Amazon Technologies Inc.,19.0412894 deg,-98.20620129999999 deg,791285 m,Not Available,Not Available,Not Available
19.0412894 deg,-98.20620129999999 deg,791285 m,Not Available,Not Available,Not Available
Win64,Win32,4,4,Google Inc.,Google SwiftShader,1600x900,Chrome/77.0.3865.90,187.143.123.122,North America,Mexico,Mexico City,Mexico City,Uninet S.A. de C.V.,Uninet S.A. de C.V.,17.0542297 deg,-96.7132304 deg,175225 m,Not Available,Not Available,Not Available
Win64,Win32,4,8,Google Inc.,Google SwiftShader,1366x768,Chrome/84.0.4147.105,200.68.170.55,North America,Mexico,Mexico City,Mexico City,"RadioMovil Dipsa, S.A. de C.V.","RadioMovil Dipsa, S.A. de C.V.",19.4371 deg,-99.0111 deg,427533 m,Not Available,Not Available,Not Available
